1119,Budapest X. kerület,Budapest,16 393,"2,111 km²"
1120,Budapest X. kerület,Budapest,—,—
1121,Budapest X. kerület,Budapest,16 325,"18,1 km²"
1122,Budapest X. kerület,Budapest,8 136,"1,171 km²"
1123,Budapest X. kerület,Budapest,3 271,"0,431 km²"
1124,Budapest X. kerület,Budapest,11 443,"1,685 km²"
1125,Budapest X. kerület,Budapest,14 322,"3,775 km²"
1126,Budapest X. kerület,Budapest,7 890,"1,041 km²"
1130,Budapest X. kerület,Budapest,—,—
1131,Budapest X. kerület,Budapest,27 247,"2,858 km²"
1132,Budapest X. kerület,Budapest,2 985,"0,246 km²"
1133,Budapest X. kerület,Budapest,11 147,"1,004 km²"
1134,Budapest X. kerület,Budapest,12 001,"1,064 km²"
1135,Budapest X. kerület,Budapest,18 472,"1,644 km²"
1136,Budapest X. kerület,Budapest,1 775,"0,257 km²"
1137,Budapest X. kerület,Budapest,2 810,"0,301 km²"
1138,Budapest X. kerület,Budapest,30 614,"4,296 km²"
1139,Budapest X. kerület,Budapest,15 985,"1,517 km²"
1140,Budapest X. kerület,Budapest,—,—
1141,Budapest X. kerület,Budapest,25 488,"3,451 km²"
1142,Budapest X. kerület,Budapest,17 121,"2,446 km²"
1143,Budapest X. kerület,Budapest,9 571,"1,23 km²"
1144,Budapest X. kerület,Budapest,9 935,"1,364 km²"
1145,Budapest X. kerület,Budapest,12 870,"1,56 km²"
1146,Budapest X. kerület,Budapest,17 476,"2,266 km²"
1147,Budapest X. kerület,Budapest,14 412,"1,814 km²"
1148,Budapest X. kerület,Budapest,8 877,"1,177 km²"
1149,Budapest X. kerület,Budapest,13 690,"1,674 km²"
1151,Budapest X. kerület,Budapest,19 813,"6,9 km²"
1153,Budapest X. kerület,Budapest,4 923,"0,942 km²"
1154,Budapest X. kerület,Budapest,8 757,"1,542 km²"
1155,Budapest X. kerület,Budapest,7 829,"1,439 km²"
1156,Budapest X. kerület,Budapest,3 410,"0,578 km²"
1157,Budapest X. kerület,Budapest,4 735,"3,084 km²"
1158,Budapest X. kerület,Budapest,14 982,"2,663 km²"
1161,Budapest X. kerület,Budapest,13 546,"3,707 km²"
1162,Budapest X. kerület,Budapest,17 353,"6,2 km²"
1163,Budapest X. kerület,Budapest,14 671,"4,195 km²"
1164,Budapest X. kerület,Budapest,11 464,"8,2 km²"
1165,Budapest X. kerület,Budapest,17 751,"10,2 km²"
